label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · mlp · joint baseline,2109,late,0.0,42,300049,0.0,0.1,0.902091115676149,0.8993990092360014,0.0026921064401476125,0.8852821783204827,0.8834954471356073,0.0017867311848753786,0.9279989736250318,0.9300899653022731,-0.0020909916772412496,1.132115448511503,1.1475742500536377,1.3654792505887765,0.15799206495285034,0.16133549809455872,2.1162032047028165
learned · mlp · joint baseline,2109,late,0.0,42,300049,0.0,0.25,0.902091115676149,0.8804247207169976,0.021666394959151347,0.8852821783204827,0.8654997217518394,0.019782456568643303,0.9279989736250318,0.9303131071719805,-0.002314133546948649,1.132115448511503,1.251124036315537,10.512054045416084,0.15799206495285034,0.17773213982582092,12.49434576278348
learned · mlp · joint baseline,2011,late,0.0,42,300049,0.0,0.0,0.9181071320002683,0.9181071320002683,0.0,0.9561695782270718,0.9561695782270718,0.0,0.8903722681868159,0.8903722681868159,0.0,0.5694101001245389,0.5694101001245389,0.0,0.4011138677597046,0.4011138677597046,0.0
learned · mlp · joint baseline,2011,late,0.0,42,300049,0.0,0.1,0.9181071320002683,0.9171087727721728,0.0009983592280954356,0.9561695782270718,0.9547220863327261,0.001447491894345676,0.8903722681868159,0.889595222452584,0.0007770457342318737,0.5694101001245389,0.5728704364466237,0.6077054694547985,0.4011138677597046,0.402756929397583,0.4096247399909712
learned · mlp · joint baseline,2011,late,0.0,42,300049,0.0,0.25,0.9181071320002683,0.9081051944765949,0.010001937523673399,0.9561695782270718,0.9448884332125779,0.011281145014493954,0.8903722681868159,0.8887694185590056,0.001602849627810321,0.5694101001245389,0.6031809366869418,5.930846072982685,0.4011138677597046,0.41338223218917847,3.0585739899732136
learned · mlp · joint baseline,2126,late,0.0,42,300049,0.0,0.0,0.6526721083685383,0.6526721083685383,0.0,0.7431902936880859,0.7431902936880859,0.0,0.8197598485668492,0.8197598485668492,0.0,1.0182352220531625,1.0182352220531625,0.0,0.299557089805603,0.299557089805603,0.0
learned · mlp · joint baseline,2126,late,0.0,42,300049,0.0,0.1,0.6526721083685383,0.6515292302533313,0.001142878115206969,0.7431902936880859,0.7345027124177321,0.00868758127035374,0.8197598485668492,0.8184470901967282,0.0013127583701210144,1.0182352220531625,1.0199090914006412,0.16438926008702864,0.299557089805603,0.3045574128627777,1.669238761940047
learned · mlp · joint baseline,2126,late,0.0,42,300049,0.0,0.25,0.6526721083685383,0.6294165059152019,0.023255602453336355,0.7431902936880859,0.7043500733875062,0.03884022030057965,0.8197598485668492,0.8054583816403692,0.014301466926480044,1.0182352220531625,1.0517713138280023,3.2935505518280728,0.299557089805603,0.32864126563072205,9.709059413013104
learned · mlp · joint baseline,5001,late,0.0,42,300049,0.0,0.0,0.42938563073187563,0.42938563073187563,0.0,0.6094868976227803,0.6094868976227803,0.0,0.32482377295115505,0.32482377295115505,0.0,3.2751141752284543,3.2751141752284543,0.0,0.5879513621330261,0.5879513621330261,0.0
learned · mlp · joint baseline,5001,late,0.0,42,300049,0.0,0.1,0.42938563073187563,0.4276106209655891,0.0017750097662865283,0.6094868976227803,0.6105972155810113,-0.0011103179582310219,0.32482377295115505,0.32623032290679466,-0.0014065499556396022,3.2751141752284543,3.2802041677645373,0.15541420126911906,0.5879513621330261,0.5884958505630493,0.09260773340975795
learned · mlp · joint baseline,5001,late,0.0,42,300049,0.0,0.25,0.42938563073187563,0.42144821466978577,0.007937416062089864,0.6094868976227803,0.5988773085773091,0.010609589045471157,0.32482377295115505,0.3308586676304488,-0.006034894679293745,3.2751141752284543,3.297814413579612,0.6931128851278725,0.5879513621330261,0.5974465012550354,1.614953163398058
learned · mlp · joint baseline,2247,late,0.0,42,300049,0.0,0.0,0.8933010455109839,0.8933010455109839,0.0,0.8683348707091966,0.8683348707091966,0.0,0.931370175815897,0.931370175815897,0.0,0.6928304010609072,0.6928304010609072,0.0,0.17971038818359375,0.17971038818359375,0.0
learned · mlp · joint baseline,2247,late,0.0,42,300049,0.0,0.1,0.8933010455109839,0.8918667303744859,0.0014343151364979434,0.8683348707091966,0.8677145821175567,0.0006202885916398726,0.931370175815897,0.9285424504787568,0.0028277253371401523,0.6928304010609072,0.6974715888977453,0.6698880172883869,0.17971038818359375,0.1818023920059204,1.1640973254086182
learned · mlp · joint baseline,2247,late,0.0,42,300049,0.0,0.25,0.8933010455109839,0.8786013621595617,0.014699683351422133,0.8683348707091966,0.8620175941680979,0.006317276541098704,0.931370175815897,0.9167390058399305,0.014631169975966474,0.6928304010609072,0.739015863556775,6.666200332021451,0.17971038818359375,0.1938987523317337,7.895127427828487
learned · mlp · joint baseline,4022,late,0.0,42,300049,0.0,0.0,0.3706832176718673,0.3706832176718673,0.0,0.36474102860109336,0.36474102860109336,0.0,0.5183451622398187,0.5183451622398187,0.0,3.0509033314464515,3.0509033314464515,0.0,0.24603091180324554,0.24603091180324554,0.0
